id,lang,entry_type,is_active,top_button_order,category_lvl1,category_icon,sub_button_order,category_lvl2,faq_title,button_label,question,short_answer,answer,user_intent,keywords,priority,channels,related_links
FAQ001,en,faq,TRUE,1,Getting started,▶,1,Overview,What is NORMAN-SLE?,What is NORMAN-SLE?,What is the NORMAN Suspect List Exchange (NORMAN‑SLE)?,NORMAN‑SLE is a community resource that hosts curated suspect lists to support HRMS-based suspect screening and data reuse.,"NORMAN‑SLE is an open, community-driven platform that collects and publishes suspect lists (predefined lists of chemicals expected or suspected to occur in a given matrix) to support high‑resolution mass spectrometry (HRMS) suspect screening. The lists are made publicly accessible together with references and key identifiers to enable efficient screening and reuse across studies and tools.",definition,NORMAN-SLE; suspect lists; HRMS; suspect screening; open data; community,high,Website; Zenodo; PubChem; CompTox,https://www.norman-network.com/nds/SLE/;https://zenodo.org/communities/norman-sle/
FAQ002,en,faq,TRUE,1,Getting started,▶,1,Overview,Why use it?,Why use it?,Why should I use NORMAN‑SLE?,"It helps you 'screen smart' by quickly selecting relevant suspect lists, with FAIR identifiers and clear references.","NORMAN‑SLE helps researchers 'screen smart' by offering many curated suspect lists with consistent identifiers and references, so you can choose lists relevant to your study and apply them directly in LC/GC‑MS workflows. Lists are versioned and citable via DOIs, and interoperability is improved through integration with major databases (e.g., PubChem and CompTox).",value_proposition,screen smart; choose lists; FAIR; DOI; PubChem; CompTox,high,Website; Zenodo; PubChem; CompTox,https://www.norman-network.com/nds/SLE/;https://zenodo.org/communities/norman-sle/;https://pubchem.ncbi.nlm.nih.gov/source/23819
FAQ003,en,faq,TRUE,1,Getting started,▶,2,Scope,What is the scope?,What is the scope?,What kind of chemicals and lists does NORMAN‑SLE focus on?,"Primarily organic contaminants relevant to environmental screening, including emerging contaminants and transformation products.","NORMAN‑SLE focuses on suspect lists relevant to environmental science and monitoring, especially organic contaminants amenable to liquid or gas chromatography coupled to mass spectrometry. The collections span many domains (e.g., PFAS, transformation products, pharmaceuticals, pesticides, food-contact chemicals, endocrine disruptors, ionic liquids, UVCBs and more).",scope,scope; LC-MS; GC-MS; environmental contaminants; PFAS; TPs; UVCB,high,Website; Zenodo,https://www.norman-network.com/nds/SLE/;https://zenodo.org/communities/norman-sle/
FAQ004,en,faq,TRUE,1,Getting started,▶,3,Definitions,What is a suspect list?,What is a suspect list?,What is a suspect list (in the context of HRMS)?,A suspect list is a predefined set of chemicals used to search HRMS data by exact mass (and other identifiers) efficiently.,"A suspect list is a predefined list of chemicals of interest or suspected to occur in a specific matrix. In HRMS workflows, suspect lists enable faster and more focused screening than untargeted approaches by allowing you to search for expected masses and identifiers. They can also be used to prepare inclusion lists in advance of analysis.",definition,suspect list; HRMS; exact mass; inclusion list,high,General,https://www.norman-network.com/nds/SLE/
FAQ005,en,faq,TRUE,1,Getting started,▶,4,How it relates,SLE vs SusDat,SLE vs SusDat,What is the difference between NORMAN‑SLE and NORMAN SusDat?,"SLE hosts individual suspect lists; SusDat is a merged, curated table that combines SLE contributions and adds extra parameters.",NORMAN‑SLE provides access to individual suspect lists with references and identifiers. NORMAN SusDat is a merged and curated data table that combines SLE contributions and adds additional parameters to support broader NORMAN activities and large-scale screening.,compare,SusDat; merged; curated; SLE vs SusDat; MS-ready,high,Website; NDS,https://www.norman-network.com/nds/SLE/;https://www.norman-network.com/nds/susdat/
FAQ006,en,faq,TRUE,2,Using the website,◼,1,Finding lists,How do I find a list?,How do I find a list?,How do I find and select a suspect list on the NORMAN‑SLE website?,Browse the list table by number/code/description and open the full list or InChIKey list links.,"On the NORMAN‑SLE website, suspect lists are presented in a table that typically includes the list number (S‑code), abbreviation, description, links to the full list file, links to the InChIKey file (when available), and references. Use the description and references to choose the list most relevant to your project.",how_to,browse; table; list number; abbreviation; description; references; InChIKey,high,Website,https://www.norman-network.com/nds/SLE/
FAQ007,en,faq,TRUE,2,Using the website,◼,2,Understanding fields,What do the columns mean?,What do the columns mean?,What do the main columns on the NORMAN‑SLE list table mean?,"They show the list’s ID (S number), short code, description, download links, and references.","The table columns are designed to help you quickly understand and download each list: • Number: the sequential S‑number assigned to the list (e.g., S100). • Abbreviation: a short code to identify the list. • Description: what the list contains. • Link to full list: download the main dataset (often CSV/XLSX). • Link to InChIKey list: download an InChIKey-only file (if structures are defined). • References: publications or sources that describe the list.",explain_ui,columns; number; abbreviation; description; download; references,high,Website,https://www.norman-network.com/nds/SLE/
FAQ008,en,faq,TRUE,2,Using the website,◼,3,Downloads,What formats are available?,What formats are available?,In what file formats are NORMAN‑SLE lists provided?,Typically CSV and XLSX; many lists also provide an InChIKey-only file and sometimes extra companion files.,NORMAN‑SLE lists are generally provided in interoperable formats such as CSV and Excel (XLSX). Many lists also provide a separate InChIKey file to support fast screening workflows. Some lists include additional files or multiple sheets to preserve extra details.,how_to,CSV; XLSX; InChIKey file; download; formats,high,Website; Zenodo,https://www.norman-network.com/nds/SLE/;https://zenodo.org/communities/norman-sle/
FAQ009,en,faq,TRUE,4,Data & identifiers,●,1,Identifiers,Which identifiers are used?,Which identifiers are used?,Which chemical identifiers should I expect in NORMAN‑SLE lists?,"Common identifiers include name, SMILES, InChI/InChIKey, CAS RN, DTXSID and PubChem CID (when available).","Suspect lists commonly include at least one chemical name and structural identifiers such as SMILES and InChI (including InChIKey). Database identifiers may include CAS numbers, PubChem CIDs, ChemSpider IDs, and/or DSSTox identifiers (DTXSID) used by CompTox. Many lists also include molecular formula and (neutral) monoisotopic mass to support screening.",how_to,SMILES; InChI; InChIKey; CAS; DTXSID; CID; formula; monoisotopic mass,high,List files,https://www.norman-network.com/nds/SLE/
FAQ010,en,faq,TRUE,4,Data & identifiers,●,2,InChIKey files,Why an InChIKey-only file?,Why an InChIKey-only file?,Why does NORMAN‑SLE provide separate InChIKey-only files for many lists?,They enable fast suspect screening and deep indexing in tools that use InChIKeys as primary keys.,"A dedicated InChIKey-only file enables very fast screening in many workflows and tools. For example, it can be used to quickly prefilter suspects in some in silico fragmentation tools and pipelines, and it supports deep indexing and lookups by a compact identifier.",explain,InChIKey file; fast screening; indexing; MetFrag,medium,Website; Zenodo,https://www.norman-network.com/nds/SLE/;https://zenodo.org/communities/norman-sle/
FAQ011,en,faq,TRUE,4,Data & identifiers,●,3,Incomplete structures,Do all entries have structures?,Do all entries have structures?,Do all NORMAN‑SLE entries have complete structural information (SMILES/InChI)?,"No. Some lists contain partial or no structures (e.g., formula-only PFAS from patents), so InChIKey files may be missing.","Not all lists contain complete structural information. Some lists are formula-based or contain partially characterized substances (e.g., isomeric mixtures, surfactants, or certain PFAS from patents). In such cases, InChI or InChIKey may not exist, and InChIKey lists are only generated for entries with known, defined structures.",troubleshoot,missing structures; partial data; PFAS patents; surfactants; UVCB; InChIKey missing,high,List files,https://www.norman-network.com/nds/SLE/
FAQ012,en,faq,TRUE,8,FAIR & licensing,⚖,1,FAIR,How is SLE FAIR?,How is SLE FAIR?,How does NORMAN‑SLE support FAIR data principles?,"DOIs + InChIKeys improve findability, Zenodo improves accessibility, SMILES/InChI improve interoperability, and open licensing supports reuse.","NORMAN‑SLE supports FAIRness by using dataset DOIs and InChIKeys for findability, providing open downloads (often through Zenodo) for accessibility, using interoperable chemical identifiers (SMILES/InChI) for integration, and enabling reuse through open licensing and community standards (including integration with PubChem).",explain,FAIR; DOI; InChIKey; Zenodo; interoperability; SMILES; InChI; license,medium,Zenodo; PubChem,https://zenodo.org/communities/norman-sle/;https://pubchem.ncbi.nlm.nih.gov/source/23819
FAQ013,en,faq,TRUE,8,FAIR & licensing,⚖,2,License,What is the license?,What is the license?,What license are NORMAN‑SLE lists released under?,Lists are openly reusable; many are provided under CC‑BY 4.0 (check the Zenodo record for each list).,"NORMAN‑SLE lists are archived on Zenodo with clear licensing and citation information. Many lists are shared under a permissive open license such as CC‑BY 4.0, allowing reuse with appropriate attribution. Always check the license on the specific list’s Zenodo record.",license,license; CC-BY 4.0; reuse; attribution; Zenodo,high,Zenodo,https://zenodo.org/communities/norman-sle/
FAQ014,en,faq,TRUE,5,Versioning & citation,▲,1,DOIs,How do I cite a list?,How do I cite a list?,How do I cite a NORMAN‑SLE suspect list?,Use the list’s Zenodo DOI (preferably the version-specific DOI if you used a specific version).,"Each suspect list is archived as a Zenodo record with a DOI, enabling formal citation. If you used a specific version, cite that version’s DOI for reproducibility. You can also cite the ‘concept DOI’ (the master DOI) that redirects to the latest version.",citation,cite; DOI; Zenodo; version-specific; concept DOI; reproducibility,high,Zenodo,https://zenodo.org/communities/norman-sle/
FAQ015,en,faq,TRUE,5,Versioning & citation,▲,2,Version numbers,How does versioning work?,How does versioning work?,How does NORMAN‑SLE versioning work on Zenodo (major vs minor updates)?,Versions follow a pattern like NORMAN‑SLE‑SXX‑0.Y.Z where Y is a major update and Z is a minor update.,"NORMAN‑SLE uses Zenodo’s versioning to track changes. A common pattern is NORMAN‑SLE‑SXX‑0.Y.Z (SXX = list number). Major updates (increase Y) typically add new entries or substantial content; minor updates (increase Z) fix or adjust existing content without major additions (e.g., correcting identifiers or typos).",explain,versioning; Zenodo; major update; minor update; 0.Y.Z,high,Zenodo,https://zenodo.org/communities/norman-sle/
FAQ016,en,faq,TRUE,5,Versioning & citation,▲,3,Reproducibility,Which version should I use?,Which version should I use?,Which version of a suspect list should I download and use?,"Use the latest version for current work, but record and cite the exact version you used.","For most analyses, use the latest version to benefit from corrections and improvements. For reproducibility, record the exact version downloaded (including the Zenodo version and DOI) and cite it in your work. This helps others reproduce your screening results.",best_practice,latest version; reproducibility; record version; cite DOI,medium,Zenodo,https://zenodo.org/communities/norman-sle/
FAQ017,en,faq,TRUE,6,Integrations,◆,1,PubChem,How is SLE in PubChem?,How is SLE in PubChem?,How is NORMAN‑SLE integrated into PubChem?,PubChem harvests list files from Zenodo via mapping files and deposits substances; lists are browsable via a PubChem classification tree.,NORMAN‑SLE content is integrated into PubChem through substance depositions compiled from list files (often linked from Zenodo via mapping files). PubChem assigns Substance IDs (SIDs) to deposited entries and generates Compound IDs (CIDs) for defined structures after standardization. The lists can also be browsed interactively via the ‘NORMAN‑SLE Tree’ on PubChem’s Classification Browser.,explain,PubChem; deposition; SID; CID; classification tree; mapping file; Zenodo,high,PubChem,https://pubchem.ncbi.nlm.nih.gov/source/23819;https://pubchem.ncbi.nlm.nih.gov/classification/#hid=101
FAQ018,en,faq,TRUE,6,Integrations,◆,1,PubChem,SID vs CID,SID vs CID,What is the difference between PubChem SIDs and CIDs in the NORMAN‑SLE integration?,"SIDs represent deposited substances (including undefined structures); CIDs represent unique, standardized chemical structures.","In PubChem, a Substance ID (SID) represents a deposited substance record, which can include entries without fully defined structures. A Compound ID (CID) represents a unique, standardized chemical structure extracted from depositions. Therefore, the number of CIDs is often lower than the number of SIDs.",explain,PubChem; SID; CID; standardization; undefined structures,medium,PubChem,https://pubchem.ncbi.nlm.nih.gov/source/23819
